名称,カテゴリー,アドレス,アクセス,築年数,構造,階数,家賃,管理費,敷金,礼金,間取り,面積,URL
アーバンキャッスル田端,賃貸マンション,東京都荒川区西尾久４,ＪＲ高崎線/尾久駅 歩7分,築13年,13階建,3階,12万円,10000円,12万円,-,1LDK,43.18m2,https://suumo.jp/chintai/jnc_000073076567/?bc=100276073138
アーバンキャッスル田端,賃貸マンション,東京都荒川区西尾久４,ＪＲ山手線/田端駅 歩13分,築13年,13階建,3階,12万円,10000円,12万円,-,1LDK,43.18m2,https://suumo.jp/chintai/jnc_000073076567/?bc=100276073138
アーバンキャッスル田端,賃貸マンション,東京都荒川区西尾久４,日暮里・舎人ライナー/赤土小学校前駅 歩15分,築13年,13階建,3階,12万円,10000円,12万円,-,1LDK,43.18m2,https://suumo.jp/chintai/jnc_000073076567/?bc=100276073138
バークリー尾久,賃貸アパート,東京都荒川区西尾久８,ＪＲ高崎線/尾久駅 歩9分,築4年,3階建,2階,9.8万円,5000円,9.8万円,9.8万円,1LDK,35.57m2,https://suumo.jp/chintai/jnc_000044804452/?bc=100276109810
バークリー尾久,賃貸アパート,東京都荒川区西尾久８,ＪＲ京浜東北線/上中里駅 歩19分,築4年,3階建,2階,9.8万円,5000円,9.8万円,9.8万円,1LDK,35.57m2,https://suumo.jp/chintai/jnc_000044804452/?bc=100276109810
バークリー尾久,賃貸アパート,東京都荒川区西尾久８,ＪＲ京浜東北線/王子駅 歩20分,築4年,3階建,2階,9.8万円,5000円,9.8万円,9.8万円,1LDK,35.57m2,https://suumo.jp/chintai/jnc_000044804452/?bc=100276109810
グリーンパーク東日暮里,賃貸マンション,東京都荒川区東日暮里６,ＪＲ山手線/日暮里駅 歩9分,築15年,7階建,6階,16.8万円,10000円,16.8万円,16.8万円,2LDK,56.7m2,https://suumo.jp/chintai/jnc_000072842775/?bc=100275189819
グリーンパーク東日暮里,賃貸マンション,東京都荒川区東日暮里６,ＪＲ常磐線/三河島駅 歩3分,築15年,7階建,6階,16.8万円,10000円,16.8万円,16.8万円,2LDK,56.7m2,https://suumo.jp/chintai/jnc_000072842775/?bc=100275189819
グリーンパーク東日暮里,賃貸マンション,東京都荒川区東日暮里６,成田スカイアクセス/日暮里駅 歩9分,築15年,7階建,6階,16.8万円,10000円,16.8万円,16.8万円,2LDK,56.7m2,https://suumo.jp/chintai/jnc_000072842775/?bc=100275189819
アズーロ日暮里,賃貸アパート,東京都荒川区西日暮里２,ＪＲ山手線/日暮里駅 歩5分,築15年,3階建,2階,12万円,-,12万円,12万円,2DK,41.39m2,https://suumo.jp/chintai/jnc_000057271974/?bc=100276138007
アズーロ日暮里,賃貸アパート,東京都荒川区西日暮里２,ＪＲ山手線/日暮里駅 歩5分,築15年,3階建,2-3階,12万円,5000円,12万円,12万円,2DK,41.39m2,https://suumo.jp/chintai/jnc_000073086950/?bc=100276094132
アズーロ日暮里,賃貸アパート,東京都荒川区西日暮里２,ＪＲ山手線/西日暮里駅 歩6分,築15年,3階建,2階,12万円,-,12万円,12万円,2DK,41.39m2,https://suumo.jp/chintai/jnc_000057271974/?bc=100276138007
アズーロ日暮里,賃貸アパート,東京都荒川区西日暮里２,ＪＲ山手線/西日暮里駅 歩6分,築15年,3階建,2-3階,12万円,5000円,12万円,12万円,2DK,41.39m2,https://suumo.jp/chintai/jnc_000073086950/?bc=100276094132
アズーロ日暮里,賃貸アパート,東京都荒川区西日暮里２,ＪＲ常磐線/三河島駅 歩11分,築15年,3階建,2階,12万円,-,12万円,12万円,2DK,41.39m2,https://suumo.jp/chintai/jnc_000057271974/?bc=100276138007
アズーロ日暮里,賃貸アパート,東京都荒川区西日暮里２,ＪＲ常磐線/三河島駅 歩11分,築15年,3階建,2-3階,12万円,5000円,12万円,12万円,2DK,41.39m2,https://suumo.jp/chintai/jnc_000073086950/?bc=100276094132
東京メトロ日比谷線 三ノ輪駅 8階建 築17年,賃貸マンション,東京都荒川区東日暮里２,東京メトロ日比谷線/三ノ輪駅 歩8分,築17年,8階建,4階,13.6万円,7000円,-,13.6万円,1LDK,38.24m2,https://suumo.jp/chintai/jnc_000069221107/?bc=100256915504
東京メトロ日比谷線 三ノ輪駅 8階建 築17年,賃貸マンション,東京都荒川区東日暮里２,東京メトロ日比谷線/三ノ輪駅 歩8分,築17年,8階建,4階,13.5万円,10000円,-,13.5万円,1LDK,41.55m2,https://suumo.jp/chintai/jnc_000073063309/?bc=100276127049
東京メトロ日比谷線 三ノ輪駅 8階建 築17年,賃貸マンション,東京都荒川区東日暮里２,東京メトロ日比谷線/三ノ輪駅 歩8分,築17年,8階建,6階,13.6万円,10000円,-,13.6万円,1LDK,41.55m2,https://suumo.jp/chintai/jnc_000072815906/?bc=100274637144
東京メトロ日比谷線 三ノ輪駅 8階建 築17年,賃貸マンション,東京都荒川区東日暮里２,東京メトロ日比谷線/三ノ輪駅 歩8分,築17年,8階建,6階,13.6万円,10000円,-,13.6万円,1LDK,41.55m2,https://suumo.jp/chintai/jnc_000072850525/?bc=100274752745
東京メトロ日比谷線 三ノ輪駅 8階建 築17年,賃貸マンション,東京都荒川区東日暮里２,都電荒川線/荒川一中前駅 歩8分,築17年,8階建,4階,13.6万円,7000円,-,13.6万円,1LDK,38.24m2,https://suumo.jp/chintai/jnc_000069221107/?bc=100256915504
東京メトロ日比谷線 三ノ輪駅 8階建 築17年,賃貸マンション,東京都荒川区東日暮里２,都電荒川線/荒川一中前駅 歩8分,築17年,8階建,4階,13.5万円,10000円,-,13.5万円,1LDK,41.55m2,https://suumo.jp/chintai/jnc_000073063309/?bc=100276127049
東京メトロ日比谷線 三ノ輪駅 8階建 築17年,賃貸マンション,東京都荒川区東日暮里２,都電荒川線/荒川一中前駅 歩8分,築17年,8階建,6階,13.6万円,10000円,-,13.6万円,1LDK,41.55m2,https://suumo.jp/chintai/jnc_000072815906/?bc=100274637144
