名称,カテゴリー,アドレス,アクセス,築年数,構造,階数,間取り,面積,家賃,管理費,敷金,礼金,URL
ムーンライトコート,0,東京都荒川区東日暮里２,東京メトロ日比谷線/三ノ輪駅 歩9分,築16年,5階建,5階,2LDK,52.86m2,12.85万円,6000円,-,-,https://suumo.jp/chintai/jnc_000072994042/?bc=100275667323
ムーンライトコート,0,東京都荒川区東日暮里２,ＪＲ山手線/日暮里駅 バス6分 (バス停)下根岸 歩3分,築16年,5階建,5階,2LDK,52.86m2,12.85万円,6000円,-,-,https://suumo.jp/chintai/jnc_000072994042/?bc=100275667323
ムーンライトコート,0,東京都荒川区東日暮里２,ＪＲ山手線/鶯谷駅 歩14分,築16年,5階建,5階,2LDK,52.86m2,12.85万円,6000円,-,-,https://suumo.jp/chintai/jnc_000072994042/?bc=100275667323
ザ・レジデンス三ノ輪,0,東京都荒川区南千住１,東京メトロ日比谷線/三ノ輪駅 歩6分,築3年,15階建,3階,1LDK,33.97m2,11.5万円,6000円,12.1万円,12.1万円,https://suumo.jp/chintai/jnc_000050016580/?bc=100248149521
ザ・レジデンス三ノ輪,0,東京都荒川区南千住１,東京メトロ日比谷線/三ノ輪駅 歩6分,築3年,15階建,6階,1LDK,33.97m2,11.6万円,6000円,12.2万円,12.2万円,https://suumo.jp/chintai/jnc_000050016589/?bc=100276357906
ザ・レジデンス三ノ輪,0,東京都荒川区南千住１,東京メトロ日比谷線/三ノ輪駅 歩6分,築3年,15階建,15階,2LDK,50m2,17.4万円,6000円,18万円,18万円,https://suumo.jp/chintai/jnc_000072394037/?bc=100274780140
ザ・レジデンス三ノ輪,0,東京都荒川区南千住１,ＪＲ常磐線/三河島駅 歩14分,築3年,15階建,3階,1LDK,33.97m2,11.5万円,6000円,12.1万円,12.1万円,https://suumo.jp/chintai/jnc_000050016580/?bc=100248149521
ザ・レジデンス三ノ輪,0,東京都荒川区南千住１,ＪＲ常磐線/三河島駅 歩14分,築3年,15階建,6階,1LDK,33.97m2,11.6万円,6000円,12.2万円,12.2万円,https://suumo.jp/chintai/jnc_000050016589/?bc=100276357906
ザ・レジデンス三ノ輪,0,東京都荒川区南千住１,ＪＲ常磐線/三河島駅 歩14分,築3年,15階建,15階,2LDK,50m2,17.4万円,6000円,18万円,18万円,https://suumo.jp/chintai/jnc_000072394037/?bc=100274780140
ザ・レジデンス三ノ輪,0,東京都荒川区南千住１,つくばエクスプレス/南千住駅 歩16分,築3年,15階建,3階,1LDK,33.97m2,11.5万円,6000円,12.1万円,12.1万円,https://suumo.jp/chintai/jnc_000050016580/?bc=100248149521
ザ・レジデンス三ノ輪,0,東京都荒川区南千住１,つくばエクスプレス/南千住駅 歩16分,築3年,15階建,6階,1LDK,33.97m2,11.6万円,6000円,12.2万円,12.2万円,https://suumo.jp/chintai/jnc_000050016589/?bc=100276357906
ザ・レジデンス三ノ輪,0,東京都荒川区南千住１,つくばエクスプレス/南千住駅 歩16分,築3年,15階建,15階,2LDK,50m2,17.4万円,6000円,18万円,18万円,https://suumo.jp/chintai/jnc_000072394037/?bc=100274780140
シエルクレール南千住,1,東京都荒川区南千住７,ＪＲ常磐線/南千住駅 歩5分,新築,3階建,2階,1K,32.27m2,10.3万円,6500円,10.3万円,10.3万円,https://suumo.jp/chintai/jnc_000071725392/?bc=100268905912
シエルクレール南千住,1,東京都荒川区南千住７,ＪＲ常磐線/南千住駅 歩5分,新築,3階建,3階,1K,32.27m2,10.5万円,6500円,10.5万円,10.5万円,https://suumo.jp/chintai/jnc_000071725394/?bc=100274374206
シエルクレール南千住,1,東京都荒川区南千住７,ＪＲ常磐線/南千住駅 歩5分,新築,3階建,3階,1DK,34.8m2,11.3万円,6500円,11.3万円,11.3万円,https://suumo.jp/chintai/jnc_000071725395/?bc=100275438939
シエルクレール南千住,1,東京都荒川区南千住７,ＪＲ常磐線/南千住駅 歩5分,新築,3階建,2階,1SLDK,50.92m2,15.1万円,8500円,15.1万円,15.1万円,https://suumo.jp/chintai/jnc_000071725393/?bc=100268905903
シエルクレール南千住,1,東京都荒川区南千住７,ＪＲ常磐線/南千住駅 歩5分,新築,3階建,3階,1SLDK,50.92m2,15.3万円,8500円,15.3万円,15.3万円,https://suumo.jp/chintai/jnc_000071725396/?bc=100275438943
シエルクレール南千住,1,東京都荒川区南千住７,京成本線/千住大橋駅 歩12分,新築,3階建,2階,1K,32.27m2,10.3万円,6500円,10.3万円,10.3万円,https://suumo.jp/chintai/jnc_000071725392/?bc=100268905912
シエルクレール南千住,1,東京都荒川区南千住７,京成本線/千住大橋駅 歩12分,新築,3階建,3階,1K,32.27m2,10.5万円,6500円,10.5万円,10.5万円,https://suumo.jp/chintai/jnc_000071725394/?bc=100274374206
シエルクレール南千住,1,東京都荒川区南千住７,京成本線/千住大橋駅 歩12分,新築,3階建,3階,1DK,34.8m2,11.3万円,6500円,11.3万円,11.3万円,https://suumo.jp/chintai/jnc_000071725395/?bc=100275438939
シエルクレール南千住,1,東京都荒川区南千住７,京成本線/千住大橋駅 歩12分,新築,3階建,2階,1SLDK,50.92m2,15.1万円,8500円,15.1万円,15.1万円,https://suumo.jp/chintai/jnc_000071725393/?bc=100268905903
シエルクレール南千住,1,東京都荒川区南千住７,京成本線/千住大橋駅 歩12分,新築,3階建,3階,1SLDK,50.92m2,15.3万円,8500円,15.3万円,15.3万円,https://suumo.jp/chintai/jnc_000071725396/?bc=100275438943
シエルクレール南千住,1,東京都荒川区南千住７,東京メトロ日比谷線/三ノ輪駅 歩14分,新築,3階建,2階,1K,32.27m2,10.3万円,6500円,10.3万円,10.3万円,https://suumo.jp/chintai/jnc_000071725392/?bc=100268905912
シエルクレール南千住,1,東京都荒川区南千住７,東京メトロ日比谷線/三ノ輪駅 歩14分,新築,3階建,3階,1K,32.27m2,10.5万円,6500円,10.5万円,10.5万円,https://suumo.jp/chintai/jnc_000071725394/?bc=100274374206
シエルクレール南千住,1,東京都荒川区南千住７,東京メトロ日比谷線/三ノ輪駅 歩14分,新築,3階建,3階,1DK,34.8m2,11.3万円,6500円,11.3万円,11.3万円,https://suumo.jp/chintai/jnc_000071725395/?bc=100275438939
シエルクレール南千住,1,東京都荒川区南千住７,東京メトロ日比谷線/三ノ輪駅 歩14分,新築,3階建,2階,1SLDK,50.92m2,15.1万円,8500円,15.1万円,15.1万円,https://suumo.jp/chintai/jnc_000071725393/?bc=100268905903
シエルクレール南千住,1,東京都荒川区南千住７,東京メトロ日比谷線/三ノ輪駅 歩14分,新築,3階建,3階,1SLDK,50.92m2,15.3万円,8500円,15.3万円,15.3万円,https://suumo.jp/chintai/jnc_000071725396/?bc=100275438943
プレミアム三ノ輪,0,東京都荒川区南千住２,東京メトロ日比谷線/三ノ輪駅 歩6分,築13年,12階建,2階,2K,30.24m2,7.5万円,10000円,-,7.5万円,https://suumo.jp/chintai/jnc_000072909740/?bc=100275179249
プレミアム三ノ輪,0,東京都荒川区南千住２,東京メトロ日比谷線/三ノ輪駅 歩6分,築13年,12階建,11階,2K,30.24m2,8.4万円,15000円,-,8.4万円,https://suumo.jp/chintai/jnc_000072221397/?bc=100276372588
プレミアム三ノ輪,0,東京都荒川区南千住２,東京メトロ日比谷線/三ノ輪駅 歩6分,築13年,12階建,6階,1K,30.24m2,8.9万円,13000円,8.9万円,8.9万円,https://suumo.jp/chintai/jnc_000073076585/?bc=100276017744
プレミアム三ノ輪,0,東京都荒川区南千住２,ＪＲ常磐線/南千住駅 歩7分,築13年,12階建,2階,2K,30.24m2,7.5万円,10000円,-,7.5万円,https://suumo.jp/chintai/jnc_000072909740/?bc=100275179249
プレミアム三ノ輪,0,東京都荒川区南千住２,ＪＲ常磐線/南千住駅 歩7分,築13年,12階建,11階,2K,30.24m2,8.4万円,15000円,-,8.4万円,https://suumo.jp/chintai/jnc_000072221397/?bc=100276372588
プレミアム三ノ輪,0,東京都荒川区南千住２,ＪＲ常磐線/南千住駅 歩7分,築13年,12階建,6階,1K,30.24m2,8.9万円,13000円,8.9万円,8.9万円,https://suumo.jp/chintai/jnc_000073076585/?bc=100276017744
プレミアム三ノ輪,0,東京都荒川区南千住２,東京メトロ日比谷線/南千住駅 歩6分,築13年,12階建,2階,2K,30.24m2,7.5万円,10000円,-,7.5万円,https://suumo.jp/chintai/jnc_000072909740/?bc=100275179249
プレミアム三ノ輪,0,東京都荒川区南千住２,東京メトロ日比谷線/南千住駅 歩6分,築13年,12階建,11階,2K,30.24m2,8.4万円,15000円,-,8.4万円,https://suumo.jp/chintai/jnc_000072221397/?bc=100276372588
プレミアム三ノ輪,0,東京都荒川区南千住２,東京メトロ日比谷線/南千住駅 歩6分,築13年,12階建,6階,1K,30.24m2,8.9万円,13000円,8.9万円,8.9万円,https://suumo.jp/chintai/jnc_000073076585/?bc=100276017744
ニューシティアパートメンツ三ノ輪,0,東京都荒川区東日暮里２,東京メトロ日比谷線/三ノ輪駅 歩7分,築17年,8階建,6階,1LDK,41.55m2,13.6万円,7000円,-,13.6万円,https://suumo.jp/chintai/jnc_000072815904/?bc=100274520854
ニューシティアパートメンツ三ノ輪,0,東京都荒川区東日暮里２,東京メトロ日比谷線/三ノ輪駅 歩7分,築17年,8階建,4階,1LDK,38.24m2,13.6万円,7000円,-,13.6万円,https://suumo.jp/chintai/jnc_000069187713/?bc=100262416529
ニューシティアパートメンツ三ノ輪,0,東京都荒川区東日暮里２,東京メトロ日比谷線/三ノ輪駅 歩7分,築17年,8階建,4階,1LDK,41.55m2,13.5万円,10000円,-,13.5万円,https://suumo.jp/chintai/jnc_000072815903/?bc=100276265549
ニューシティアパートメンツ三ノ輪,0,東京都荒川区東日暮里２,東京メトロ日比谷線/三ノ輪駅 歩7分,築17年,8階建,6階,1LDK,41.55m2,13.6万円,10000円,-,13.6万円,https://suumo.jp/chintai/jnc_000072815905/?bc=100209682453
ニューシティアパートメンツ三ノ輪,0,東京都荒川区東日暮里２,ＪＲ常磐線/三河島駅 歩10分,築17年,8階建,6階,1LDK,41.55m2,13.6万円,7000円,-,13.6万円,https://suumo.jp/chintai/jnc_000072815904/?bc=100274520854
ニューシティアパートメンツ三ノ輪,0,東京都荒川区東日暮里２,ＪＲ常磐線/三河島駅 歩10分,築17年,8階建,4階,1LDK,38.24m2,13.6万円,7000円,-,13.6万円,https://suumo.jp/chintai/jnc_000069187713/?bc=100262416529
ニューシティアパートメンツ三ノ輪,0,東京都荒川区東日暮里２,ＪＲ常磐線/三河島駅 歩10分,築17年,8階建,4階,1LDK,41.55m2,13.5万円,10000円,-,13.5万円,https://suumo.jp/chintai/jnc_000072815903/?bc=100276265549
ニューシティアパートメンツ三ノ輪,0,東京都荒川区東日暮里２,ＪＲ常磐線/三河島駅 歩10分,築17年,8階建,6階,1LDK,41.55m2,13.6万円,10000円,-,13.6万円,https://suumo.jp/chintai/jnc_000072815905/?bc=100209682453
ニューシティアパートメンツ三ノ輪,0,東京都荒川区東日暮里２,ＪＲ山手線/上野駅 歩26分,築17年,8階建,6階,1LDK,41.55m2,13.6万円,7000円,-,13.6万円,https://suumo.jp/chintai/jnc_000072815904/?bc=100274520854
ニューシティアパートメンツ三ノ輪,0,東京都荒川区東日暮里２,ＪＲ山手線/上野駅 歩26分,築17年,8階建,4階,1LDK,38.24m2,13.6万円,7000円,-,13.6万円,https://suumo.jp/chintai/jnc_000069187713/?bc=100262416529
ニューシティアパートメンツ三ノ輪,0,東京都荒川区東日暮里２,ＪＲ山手線/上野駅 歩26分,築17年,8階建,4階,1LDK,41.55m2,13.5万円,10000円,-,13.5万円,https://suumo.jp/chintai/jnc_000072815903/?bc=100276265549
ニューシティアパートメンツ三ノ輪,0,東京都荒川区東日暮里２,ＪＲ山手線/上野駅 歩26分,築17年,8階建,6階,1LDK,41.55m2,13.6万円,10000円,-,13.6万円,https://suumo.jp/chintai/jnc_000072815905/?bc=100209682453
アルページュ,0,東京都荒川区東日暮里２,東京メトロ日比谷線/三ノ輪駅 歩9分,築8年,8階建,2階,1LDK,47.76m2,13.5万円,8500円,13.5万円,13.5万円,https://suumo.jp/chintai/jnc_000072786148/?bc=100276267102
