名称,カテゴリー,アドレス,アクセス,築年数,地上構造,地下構造,物件階数,間取り,面積,家賃,管理費,敷金,礼金,URL
都営浅草線 本所吾妻橋駅 3階建 築45年,0,墨田区東駒形２,都営浅草線/本所吾妻橋駅 歩7分,45,3,0,2階,22K,26.5m2,7.5万円,-,7.5万円,7.5万円,https://suumo.jp/chintai/jnc_000050172106/?bc=100263676655
都営浅草線 本所吾妻橋駅 3階建 築45年,0,墨田区東駒形２,東京メトロ銀座線/浅草駅 歩9分,45,3,0,2階,22K,26.5m2,7.5万円,-,7.5万円,7.5万円,https://suumo.jp/chintai/jnc_000050172106/?bc=100263676655
都営浅草線 本所吾妻橋駅 3階建 築45年,0,墨田区東駒形２,東京メトロ銀座線/田原町駅 歩13分,45,3,0,2階,22K,26.5m2,7.5万円,-,7.5万円,7.5万円,https://suumo.jp/chintai/jnc_000050172106/?bc=100263676655
ドゥーエ南千住,0,荒川区南千住６,東京メトロ日比谷線/南千住駅 歩9分,3,7,0,2階,1K,25.29m2,8.5万円,10000円,8.5万円,-,https://suumo.jp/chintai/jnc_000073117645/?bc=100269220272
ドゥーエ南千住,0,荒川区南千住６,東京メトロ日比谷線/南千住駅 歩9分,3,7,0,2階,1SK,25.29m2,9万円,10000円,9万円,9万円,https://suumo.jp/chintai/jnc_000071788725/?bc=100276388520
ドゥーエ南千住,0,荒川区南千住６,東京メトロ日比谷線/南千住駅 歩9分,3,7,0,3階,1DK,25.29m2,9.3万円,10000円,9.3万円,9.3万円,https://suumo.jp/chintai/jnc_000073284830/?bc=100277311933
ドゥーエ南千住,0,荒川区南千住６,東京メトロ日比谷線/南千住駅 歩9分,3,7,0,2階,3LDK,51.02m2,17.8万円,15000円,17.8万円,35.6万円,https://suumo.jp/chintai/jnc_000073278288/?bc=100277257784
ドゥーエ南千住,0,荒川区南千住６,東京メトロ日比谷線/南千住駅 歩9分,3,7,0,7階,2LDK,50.84m2,18万円,15000円,18万円,18万円,https://suumo.jp/chintai/jnc_000071005512/?bc=100266632723
ドゥーエ南千住,0,荒川区南千住６,東京メトロ日比谷線/南千住駅 歩9分,3,7,0,3階,2SLDK,52.9m2,18.4万円,15000円,18.4万円,18.4万円,https://suumo.jp/chintai/jnc_000063411237/?bc=100277311940
ドゥーエ南千住,0,荒川区南千住６,ＪＲ常磐線/南千住駅 歩9分,3,7,0,2階,1K,25.29m2,8.5万円,10000円,8.5万円,-,https://suumo.jp/chintai/jnc_000073117645/?bc=100269220272
ドゥーエ南千住,0,荒川区南千住６,ＪＲ常磐線/南千住駅 歩9分,3,7,0,2階,1SK,25.29m2,9万円,10000円,9万円,9万円,https://suumo.jp/chintai/jnc_000071788725/?bc=100276388520
ドゥーエ南千住,0,荒川区南千住６,ＪＲ常磐線/南千住駅 歩9分,3,7,0,3階,1DK,25.29m2,9.3万円,10000円,9.3万円,9.3万円,https://suumo.jp/chintai/jnc_000073284830/?bc=100277311933
ドゥーエ南千住,0,荒川区南千住６,ＪＲ常磐線/南千住駅 歩9分,3,7,0,2階,3LDK,51.02m2,17.8万円,15000円,17.8万円,35.6万円,https://suumo.jp/chintai/jnc_000073278288/?bc=100277257784
ドゥーエ南千住,0,荒川区南千住６,ＪＲ常磐線/南千住駅 歩9分,3,7,0,7階,2LDK,50.84m2,18万円,15000円,18万円,18万円,https://suumo.jp/chintai/jnc_000071005512/?bc=100266632723
ドゥーエ南千住,0,荒川区南千住６,ＪＲ常磐線/南千住駅 歩9分,3,7,0,3階,2SLDK,52.9m2,18.4万円,15000円,18.4万円,18.4万円,https://suumo.jp/chintai/jnc_000063411237/?bc=100277311940
ドゥーエ南千住,0,荒川区南千住６,京成本線/千住大橋駅 歩10分,3,7,0,2階,1K,25.29m2,8.5万円,10000円,8.5万円,-,https://suumo.jp/chintai/jnc_000073117645/?bc=100269220272
ドゥーエ南千住,0,荒川区南千住６,京成本線/千住大橋駅 歩10分,3,7,0,2階,1SK,25.29m2,9万円,10000円,9万円,9万円,https://suumo.jp/chintai/jnc_000071788725/?bc=100276388520
ドゥーエ南千住,0,荒川区南千住６,京成本線/千住大橋駅 歩10分,3,7,0,3階,1DK,25.29m2,9.3万円,10000円,9.3万円,9.3万円,https://suumo.jp/chintai/jnc_000073284830/?bc=100277311933
ドゥーエ南千住,0,荒川区南千住６,京成本線/千住大橋駅 歩10分,3,7,0,2階,3LDK,51.02m2,17.8万円,15000円,17.8万円,35.6万円,https://suumo.jp/chintai/jnc_000073278288/?bc=100277257784
ドゥーエ南千住,0,荒川区南千住６,京成本線/千住大橋駅 歩10分,3,7,0,7階,2LDK,50.84m2,18万円,15000円,18万円,18万円,https://suumo.jp/chintai/jnc_000071005512/?bc=100266632723
ドゥーエ南千住,0,荒川区南千住６,京成本線/千住大橋駅 歩10分,3,7,0,3階,2SLDK,52.9m2,18.4万円,15000円,18.4万円,18.4万円,https://suumo.jp/chintai/jnc_000063411237/?bc=100277311940
エーエス日暮里,0,荒川区東日暮里５,ＪＲ山手線/日暮里駅 歩6分,10,8,0,6階,2LDK,55.25m2,17.5万円,8000円,17.5万円,17.5万円,https://suumo.jp/chintai/jnc_000071397361/?bc=100277211059
エーエス日暮里,0,荒川区東日暮里５,ＪＲ常磐線/三河島駅 歩12分,10,8,0,6階,2LDK,55.25m2,17.5万円,8000円,17.5万円,17.5万円,https://suumo.jp/chintai/jnc_000071397361/?bc=100277211059
エーエス日暮里,0,荒川区東日暮里５,東京メトロ日比谷線/入谷駅 歩17分,10,8,0,6階,2LDK,55.25m2,17.5万円,8000円,17.5万円,17.5万円,https://suumo.jp/chintai/jnc_000071397361/?bc=100277211059
ＪＲ山手線 日暮里駅 8階建 築10年,0,荒川区東日暮里５,ＪＲ山手線/日暮里駅 歩6分,10,8,0,6階,2LDK,55.25m2,17.5万円,8000円,17.5万円,17.5万円,https://suumo.jp/chintai/jnc_000071402904/?bc=100277252567
ＪＲ山手線 日暮里駅 8階建 築10年,0,荒川区東日暮里５,ＪＲ常磐線/三河島駅 歩12分,10,8,0,6階,2LDK,55.25m2,17.5万円,8000円,17.5万円,17.5万円,https://suumo.jp/chintai/jnc_000071402904/?bc=100277252567
ＪＲ山手線 日暮里駅 8階建 築10年,0,荒川区東日暮里５,ＪＲ山手線/鶯谷駅 歩15分,10,8,0,6階,2LDK,55.25m2,17.5万円,8000円,17.5万円,17.5万円,https://suumo.jp/chintai/jnc_000071402904/?bc=100277252567
東京メトロ日比谷線 三ノ輪駅 18階建 築18年,0,荒川区荒川１,東京メトロ日比谷線/三ノ輪駅 歩7分,18,18,0,7階,ワンルーム,27.43m2,7.9万円,8000円,7.9万円,7.9万円,https://suumo.jp/chintai/jnc_000073086940/?bc=100276148636
東京メトロ日比谷線 三ノ輪駅 18階建 築18年,0,荒川区荒川１,東京メトロ日比谷線/三ノ輪駅 歩7分,18,18,0,9階,ワンルーム,27.43m2,8万円,8000円,8万円,8万円,https://suumo.jp/chintai/jnc_000059856243/?bc=100276146259
東京メトロ日比谷線 三ノ輪駅 18階建 築18年,0,荒川区荒川１,東京メトロ日比谷線/三ノ輪駅 歩7分,18,18,0,13階,ワンルーム,27.43m2,8.2万円,8000円,8.2万円,8.2万円,https://suumo.jp/chintai/jnc_000072879172/?bc=100274901568
東京メトロ日比谷線 三ノ輪駅 18階建 築18年,0,荒川区荒川１,東京メトロ日比谷線/三ノ輪駅 歩7分,18,18,0,14階,ワンルーム,27.43m2,8.2万円,8000円,8.2万円,8.2万円,https://suumo.jp/chintai/jnc_000073221910/?bc=100276936879
東京メトロ日比谷線 三ノ輪駅 18階建 築18年,0,荒川区荒川１,東京メトロ日比谷線/三ノ輪駅 歩7分,18,18,0,16階,ワンルーム,27.43m2,8.3万円,8000円,8.3万円,8.3万円,https://suumo.jp/chintai/jnc_000073221911/?bc=100276883035
東京メトロ日比谷線 三ノ輪駅 18階建 築18年,0,荒川区荒川１,東京メトロ日比谷線/三ノ輪駅 歩7分,18,18,0,7階,2LDK,60.2m2,14.6万円,12000円,14.6万円,29.2万円,https://suumo.jp/chintai/jnc_000072871078/?bc=100276607938
東京メトロ日比谷線 三ノ輪駅 18階建 築18年,0,荒川区荒川１,東京メトロ日比谷線/三ノ輪駅 歩7分,18,18,0,10階,2LDK,60.2m2,15万円,12000円,15万円,30万円,https://suumo.jp/chintai/jnc_000066454532/?bc=100274155089
東京メトロ日比谷線 三ノ輪駅 18階建 築18年,0,荒川区荒川１,東京メトロ日比谷線/三ノ輪駅 歩7分,18,18,0,17階,2LDK,60.47m2,15.7万円,12000円,15.7万円,31.4万円,https://suumo.jp/chintai/jnc_000072871077/?bc=100277008119
東京メトロ日比谷線 三ノ輪駅 18階建 築18年,0,荒川区荒川１,ＪＲ常磐線/三河島駅 歩14分,18,18,0,7階,ワンルーム,27.43m2,7.9万円,8000円,7.9万円,7.9万円,https://suumo.jp/chintai/jnc_000073086940/?bc=100276148636
東京メトロ日比谷線 三ノ輪駅 18階建 築18年,0,荒川区荒川１,ＪＲ常磐線/三河島駅 歩14分,18,18,0,9階,ワンルーム,27.43m2,8万円,8000円,8万円,8万円,https://suumo.jp/chintai/jnc_000059856243/?bc=100276146259
東京メトロ日比谷線 三ノ輪駅 18階建 築18年,0,荒川区荒川１,ＪＲ常磐線/三河島駅 歩14分,18,18,0,13階,ワンルーム,27.43m2,8.2万円,8000円,8.2万円,8.2万円,https://suumo.jp/chintai/jnc_000072879172/?bc=100274901568
東京メトロ日比谷線 三ノ輪駅 18階建 築18年,0,荒川区荒川１,ＪＲ常磐線/三河島駅 歩14分,18,18,0,14階,ワンルーム,27.43m2,8.2万円,8000円,8.2万円,8.2万円,https://suumo.jp/chintai/jnc_000073221910/?bc=100276936879
東京メトロ日比谷線 三ノ輪駅 18階建 築18年,0,荒川区荒川１,ＪＲ常磐線/三河島駅 歩14分,18,18,0,16階,ワンルーム,27.43m2,8.3万円,8000円,8.3万円,8.3万円,https://suumo.jp/chintai/jnc_000073221911/?bc=100276883035
東京メトロ日比谷線 三ノ輪駅 18階建 築18年,0,荒川区荒川１,ＪＲ常磐線/三河島駅 歩14分,18,18,0,7階,2LDK,60.2m2,14.6万円,12000円,14.6万円,29.2万円,https://suumo.jp/chintai/jnc_000072871078/?bc=100276607938
東京メトロ日比谷線 三ノ輪駅 18階建 築18年,0,荒川区荒川１,ＪＲ常磐線/三河島駅 歩14分,18,18,0,10階,2LDK,60.2m2,15万円,12000円,15万円,30万円,https://suumo.jp/chintai/jnc_000066454532/?bc=100274155089
東京メトロ日比谷線 三ノ輪駅 18階建 築18年,0,荒川区荒川１,ＪＲ常磐線/三河島駅 歩14分,18,18,0,17階,2LDK,60.47m2,15.7万円,12000円,15.7万円,31.4万円,https://suumo.jp/chintai/jnc_000072871077/?bc=100277008119
